uuid,parameter,unit,value,frequency,date,longitude,latitude,height,validation,note
a40d1017-0fb1-433e-ab24-70f16cea1ab8,CO,,-1.0,,2022-03-24T10:00:00.0,11.2793333333333,46.3436527777778,,,
a40d1017-0fb1-433e-ab24-70f16cea1ab8,NO2,,37.7301,,2022-03-24T10:00:00.0,11.2793333333333,46.3436527777778,,,
a40d1017-0fb1-433e-ab24-70f16cea1ab8,O3,,40.108,,2022-03-24T10:00:00.0,11.2793333333333,46.3436527777778,,,
a40d1017-0fb1-433e-ab24-70f16cea1ab8,PM10,,14.5983,,2022-03-24T10:00:00.0,11.2793333333333,46.3436527777778,,,
a40d1017-0fb1-433e-ab24-70f16cea1ab8,PM2.5,,8.5717,,2022-03-24T10:00:00.0,11.2793333333333,46.3436527777778,,,
a40d1017-0fb1-433e-ab24-70f16cea1ab8,SO2,,-1.0,,2022-03-24T10:00:00.0,11.2793333333333,46.3436527777778,,,
70e20000-2aad-4034-8505-af1d50a88eae,CO,,-1.0,,2022-03-24T10:00:00.0,11.6333055555556,46.6875555555555,,,
70e20000-2aad-4034-8505-af1d50a88eae,NO2,,28.5525,,2022-03-24T10:00:00.0,11.6333055555556,46.6875555555555,,,
70e20000-2aad-4034-8505-af1d50a88eae,O3,,51.59,,2022-03-24T10:00:00.0,11.6333055555556,46.6875555555555,,,
70e20000-2aad-4034-8505-af1d50a88eae,PM10,,21.1683,,2022-03-24T10:00:00.0,11.6333055555556,46.6875555555555,,,
70e20000-2aad-4034-8505-af1d50a88eae,PM2.5,,12.5233,,2022-03-24T10:00:00.0,11.6333055555556,46.6875555555555,,,
70e20000-2aad-4034-8505-af1d50a88eae,SO2,,-1.0,,2022-03-24T10:00:00.0,11.6333055555556,46.6875555555555,,,
58688d1c-120c-4b84-9555-31a31af6df73,CO,,-1.0,,2022-03-24T10:00:00.0,11.9440277777778,46.7973472222222,,,
58688d1c-120c-4b84-9555-31a31af6df73,GAMMA,,0.1,,2022-03-24T10:00:00.0,11.9440277777778,46.7973472222222,,,
58688d1c-120c-4b84-9555-31a31af6df73,NO2,,15.0092,,2022-03-24T10:00:00.0,11.9440277777778,46.7973472222222,,,
58688d1c-120c-4b84-9555-31a31af6df73,O3,,58.91,,2022-03-24T10:00:00.0,11.9440277777778,46.7973472222222,,,
58688d1c-120c-4b84-9555-31a31af6df73,PM10,,23.4433,,2022-03-24T10:00:00.0,11.9440277777778,46.7973472222222,,,
58688d1c-120c-4b84-9555-31a31af6df73,PM2.5,,-1.0,,2022-03-24T10:00:00.0,11.9440277777778,46.7973472222222,,,
58688d1c-120c-4b84-9555-31a31af6df73,SO2,,-1.0,,2022-03-24T10:00:00.0,11.9440277777778,46.7973472222222,,,
bf371609-82df-4349-93c1-9d6f4bdfa3e9,CO,,-1.0,,2022-03-24T10:00:00.0,11.6540833333333,46.7149166666667,,,
bf371609-82df-4349-93c1-9d6f4bdfa3e9,GAMMA,,0.12,,2022-03-24T10:00:00.0,11.6540833333333,46.7149166666667,,,
bf371609-82df-4349-93c1-9d6f4bdfa3e9,NO2,,18.0588,,2022-03-24T10:00:00.0,11.6540833333333,46.7149166666667,,,
bf371609-82df-4349-93c1-9d6f4bdfa3e9,O3,,57.99,,2022-03-24T10:00:00.0,11.6540833333333,46.7149166666667,,,
bf371609-82df-4349-93c1-9d6f4bdfa3e9,PM10,,19.455,,2022-03-24T10:00:00.0,11.6540833333333,46.7149166666667,,,
bf371609-82df-4349-93c1-9d6f4bdfa3e9,PM2.5,,-1.0,,2022-03-24T10:00:00.0,11.6540833333333,46.7149166666667,,,
bf371609-82df-4349-93c1-9d6f4bdfa3e9,SO2,,-1.0,,2022-03-24T10:00:00.0,11.6540833333333,46.7149166666667,,,
ad4b0864-e4c9-4ac4-aa25-c78a0685e657,CO,,-1.0,,2022-03-24T10:00:00.0,11.3418333333333,46.4823055555555,,,
ad4b0864-e4c9-4ac4-aa25-c78a0685e657,NO2,,45.034,,2022-03-24T10:00:00.0,11.3418333333333,46.4823055555555,,,
ad4b0864-e4c9-4ac4-aa25-c78a0685e657,O3,,-1.0,,2022-03-24T10:00:00.0,11.3418333333333,46.4823055555555,,,
ad4b0864-e4c9-4ac4-aa25-c78a0685e657,PM10,,28.73,,2022-03-24T10:00:00.0,11.3418333333333,46.4823055555555,,,
ad4b0864-e4c9-4ac4-aa25-c78a0685e657,PM2.5,,17.6483,,2022-03-24T10:00:00.0,11.3418333333333,46.4823055555555,,,
ad4b0864-e4c9-4ac4-aa25-c78a0685e657,SO2,,-1.0,,2022-03-24T10:00:00.0,11.3418333333333,46.4823055555555,,,
7b281dc9-b41f-4ca8-8629-91419f756680,CO,,-1.0,,2022-03-24T10:00:00.0,11.3399722222222,46.4954722222222,,,
7b281dc9-b41f-4ca8-8629-91419f756680,NO2,,59.6576,,2022-03-24T10:00:00.0,11.3399722222222,46.4954722222222,,,
7b281dc9-b41f-4ca8-8629-91419f756680,O3,,-1.0,,2022-03-24T10:00:00.0,11.3399722222222,46.4954722222222,,,
7b281dc9-b41f-4ca8-8629-91419f756680,PM10,,30.29,,2022-03-24T10:00:00.0,11.3399722222222,46.4954722222222,,,
7b281dc9-b41f-4ca8-8629-91419f756680,PM2.5,,13.8983,,2022-03-24T10:00:00.0,11.3399722222222,46.4954722222222,,,
7b281dc9-b41f-4ca8-8629-91419f756680,SO2,,-1.0,,2022-03-24T10:00:00.0,11.3399722222222,46.4954722222222,,,
ae1f7fa1-9874-4f7a-afac-9866724e5f43,CO,,-1.0,,2022-03-24T10:00:00.0,11.3419722222222,46.4991666666667,,,
ae1f7fa1-9874-4f7a-afac-9866724e5f43,GAMMA,,0.13,,2022-03-24T10:00:00.0,11.3419722222222,46.4991666666667,,,
ae1f7fa1-9874-4f7a-afac-9866724e5f43,NO2,,43.976,,2022-03-24T10:00:00.0,11.3419722222222,46.4991666666667,,,
ae1f7fa1-9874-4f7a-afac-9866724e5f43,O3,,40.3433,,2022-03-24T10:00:00.0,11.3419722222222,46.4991666666667,,,
ae1f7fa1-9874-4f7a-afac-9866724e5f43,PM10,,-1.0,,2022-03-24T10:00:00.0,11.3419722222222,46.4991666666667,,,
ae1f7fa1-9874-4f7a-afac-9866724e5f43,PM2.5,,-1.0,,2022-03-24T10:00:00.0,11.3419722222222,46.4991666666667,,,
ae1f7fa1-9874-4f7a-afac-9866724e5f43,SO2,,-1.0,,2022-03-24T10:00:00.0,11.3419722222222,46.4991666666667,,,
aa21bf78-7a3b-4047-acac-30e11d54a638,CO,,-1.0,,2022-03-24T10:00:00.0,11.2271111111111,46.2673333333333,,,
aa21bf78-7a3b-4047-acac-30e11d54a638,GAMMA,,-1.0,,2022-03-24T10:00:00.0,11.2271111111111,46.2673333333333,,,
aa21bf78-7a3b-4047-acac-30e11d54a638,NO2,,-1.0,,2022-03-24T10:00:00.0,11.2271111111111,46.2673333333333,,,
aa21bf78-7a3b-4047-acac-30e11d54a638,O3,,-1.0,,2022-03-24T10:00:00.0,11.2271111111111,46.2673333333333,,,
aa21bf78-7a3b-4047-acac-30e11d54a638,PM10,,-1.0,,2022-03-24T10:00:00.0,11.2271111111111,46.2673333333333,,,
aa21bf78-7a3b-4047-acac-30e11d54a638,PM2.5,,-1.0,,2022-03-24T10:00:00.0,11.2271111111111,46.2673333333333,,,
aa21bf78-7a3b-4047-acac-30e11d54a638,SO2,,-1.0,,2022-03-24T10:00:00.0,11.2271111111111,46.2673333333333,,,
108bc9d1-cceb-4457-a004-c0438eb8daaa,CO,,-1.0,,2022-03-24T10:00:00.0,11.2232416666667,46.2640638888889,,,
108bc9d1-cceb-4457-a004-c0438eb8daaa,GAMMA,,-1.0,,2022-03-24T10:00:00.0,11.2232416666667,46.2640638888889,,,
108bc9d1-cceb-4457-a004-c0438eb8daaa,NO2,,27.2173,,2022-03-24T10:00:00.0,11.2232416666667,46.2640638888889,,,
108bc9d1-cceb-4457-a004-c0438eb8daaa,O3,,51.0833,,2022-03-24T10:00:00.0,11.2232416666667,46.2640638888889,,,
108bc9d1-cceb-4457-a004-c0438eb8daaa,PM10,,14.3267,,2022-03-24T10:00:00.0,11.2232416666667,46.2640638888889,,,
108bc9d1-cceb-4457-a004-c0438eb8daaa,PM2.5,,-1.0,,2022-03-24T10:00:00.0,11.2232416666667,46.2640638888889,,,
108bc9d1-cceb-4457-a004-c0438eb8daaa,SO2,,-1.0,,2022-03-24T10:00:00.0,11.2232416666667,46.2640638888889,,,
98312816-ce65-4283-bb53-b9829e76e8b2,CO,,-1.0,,2022-03-24T10:00:00.0,10.8590555555555,46.6194722222222,,,
98312816-ce65-4283-bb53-b9829e76e8b2,GAMMA,,0.13,,2022-03-24T10:00:00.0,10.8590555555555,46.6194722222222,,,
98312816-ce65-4283-bb53-b9829e76e8b2,NO2,,13.521,,2022-03-24T10:00:00.0,10.8590555555555,46.6194722222222,,,
98312816-ce65-4283-bb53-b9829e76e8b2,O3,,72.4767,,2022-03-24T10:00:00.0,10.8590555555555,46.6194722222222,,,
98312816-ce65-4283-bb53-b9829e76e8b2,PM10,,11.6367,,2022-03-24T10:00:00.0,10.8590555555555,46.6194722222222,,,
98312816-ce65-4283-bb53-b9829e76e8b2,PM2.5,,5.2733,,2022-03-24T10:00:00.0,10.8590555555555,46.6194722222222,,,
98312816-ce65-4283-bb53-b9829e76e8b2,SO2,,-1.0,,2022-03-24T10:00:00.0,10.8590555555555,46.6194722222222,,,
b02674bc-3a7b-4b73-8a8c-8932b80e6fdb,CO,,-1.0,,2022-03-24T10:00:00.0,11.3401388888889,46.4348333333333,,,
b02674bc-3a7b-4b73-8a8c-8932b80e6fdb,NO2,,33.511,,2022-03-24T10:00:00.0,11.3401388888889,46.4348333333333,,,
b02674bc-3a7b-4b73-8a8c-8932b80e6fdb,O3,,41.9,,2022-03-24T10:00:00.0,11.3401388888889,46.4348333333333,,,
b02674bc-3a7b-4b73-8a8c-8932b80e6fdb,PM10,,17.6817,,2022-03-24T10:00:00.0,11.3401388888889,46.4348333333333,,,
b02674bc-3a7b-4b73-8a8c-8932b80e6fdb,PM2.5,,5.7183,,2022-03-24T10:00:00.0,11.3401388888889,46.4348333333333,,,
b02674bc-3a7b-4b73-8a8c-8932b80e6fdb,SO2,,-1.0,,2022-03-24T10:00:00.0,11.3401388888889,46.4348333333333,,,
14c30fcb-c381-4657-8a36-cc45f0a3cd02,CO,,-1.0,,2022-03-24T10:00:00.0,11.161625,46.662,,,
14c30fcb-c381-4657-8a36-cc45f0a3cd02,NO2,,46.4138,,2022-03-24T10:00:00.0,11.161625,46.662,,,
14c30fcb-c381-4657-8a36-cc45f0a3cd02,O3,,39.21,,2022-03-24T10:00:00.0,11.161625,46.662,,,
14c30fcb-c381-4657-8a36-cc45f0a3cd02,PM10,,15.1667,,2022-03-24T10:00:00.0,11.161625,46.662,,,
14c30fcb-c381-4657-8a36-cc45f0a3cd02,PM2.5,,7.8333,,2022-03-24T10:00:00.0,11.161625,46.662,,,
14c30fcb-c381-4657-8a36-cc45f0a3cd02,SO2,,-1.0,,2022-03-24T10:00:00.0,11.161625,46.662,,,
fedd6599-112a-434d-831f-e548b66baba4,CO,,-1.0,,2022-03-24T10:00:00.0,11.2375277777778,46.2888888888889,,,
fedd6599-112a-434d-831f-e548b66baba4,NO2,,62.2993,,2022-03-24T10:00:00.0,11.2375277777778,46.2888888888889,,,
fedd6599-112a-434d-831f-e548b66baba4,O3,,26.8267,,2022-03-24T10:00:00.0,11.2375277777778,46.2888888888889,,,
fedd6599-112a-434d-831f-e548b66baba4,PM10,,34.2817,,2022-03-24T10:00:00.0,11.2375277777778,46.2888888888889,,,
fedd6599-112a-434d-831f-e548b66baba4,PM2.5,,11.1183,,2022-03-24T10:00:00.0,11.2375277777778,46.2888888888889,,,
fedd6599-112a-434d-831f-e548b66baba4,SO2,,-1.0,,2022-03-24T10:00:00.0,11.2375277777778,46.2888888888889,,,
b30595ec-5274-4462-a1ab-5081eba0f958,CO,,-1.0,,2022-03-24T10:00:00.0,11.2669166666667,46.3209722222222,,,
